"P_in
References : ['Drain_Eff','Tot_Eff','PAE']
Dependency : [P_in]
Num. Points : [38]
Matrix Size : scalar
Type : Real","Drain_Eff
References : []
Dependency : [P_in]
Num. Points : [38]
Matrix Size : scalar
Type : Real","Tot_Eff
References : []
Dependency : [P_in]
Num. Points : [38]
Matrix Size : scalar
Type : Real","PAE
References : []
Dependency : [P_in]
Num. Points : [38]
Matrix Size : scalar
Type : Real"
-10.000,0.164,0.164,0.161
-9.000,0.206,0.206,0.202
-8.000,0.259,0.259,0.254
-7.000,0.326,0.326,0.320
-6.000,0.410,0.410,0.402
-5.000,0.516,0.516,0.505
-4.000,0.648,0.648,0.635
-3.000,0.814,0.814,0.797
-2.000,1.022,1.022,1.001
-1.000,1.282,1.282,1.256
0.000,1.607,1.606,1.573
1.000,2.010,2.009,1.968
2.000,2.509,2.507,2.457
3.000,3.120,3.118,3.055
4.000,3.859,3.856,3.779
5.000,4.735,4.730,4.636
6.000,5.741,5.734,5.621
7.000,6.853,6.843,6.707
8.000,8.029,8.015,7.855
9.000,9.259,9.240,9.053
10.000,10.574,10.548,10.334
11.000,12.005,11.971,11.726
12.000,13.576,13.533,13.255
13.000,15.288,15.232,14.920
14.000,17.143,17.072,16.722
15.000,19.170,19.079,18.690
16.000,21.405,21.289,20.859
17.000,23.863,23.716,23.242
18.000,26.558,26.372,25.852
19.000,29.504,29.270,28.702
20.000,32.717,32.422,31.807
21.000,36.210,35.840,35.176
22.000,39.991,39.526,38.816
23.000,44.054,43.472,42.717
24.000,48.342,47.616,46.818
25.000,52.360,51.459,50.610
26.000,55.062,53.958,53.016
27.000,57.013,55.665,54.591
