"indep(__d, 1)
References : ['plot_vs(real(P_out_dBm), P_in)','plot_vs(P_out2_dBm, P_in)','plot_vs(P_out3_dBm, P_in)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(real(P_out_dBm), P_in)
References : []
Dependency : []
Num. Points : [38]
Matrix Size : scalar
Type : Real","plot_vs(P_out2_dBm, P_in)
References : []
Dependency : []
Num. Points : [38]
Matrix Size : scalar
Type : Real","plot_vs(P_out3_dBm, P_in)
References : []
Dependency : []
Num. Points : [38]
Matrix Size : scalar
Type : Real"
-10.000,6.832,-65.404,-78.935
-9.000,7.833,-63.387,-75.915
-8.000,8.833,-61.365,-72.892
-7.000,9.834,-59.338,-69.863
-6.000,10.834,-57.305,-66.829
-5.000,11.835,-55.264,-63.789
-4.000,12.836,-53.214,-60.744
-3.000,13.838,-51.155,-57.695
-2.000,14.839,-49.088,-54.643
-1.000,15.841,-47.020,-51.585
0.000,16.843,-44.960,-48.493
1.000,17.844,-42.931,-45.268
2.000,18.843,-40.955,-41.672
3.000,19.839,-39.025,-37.410
4.000,20.828,-37.032,-32.468
5.000,21.806,-34.667,-27.200
6.000,22.767,-31.528,-21.977
7.000,23.707,-27.604,-17.038
8.000,24.624,-23.448,-12.600
9.000,25.527,-19.769,-8.993
10.000,26.429,-16.830,-6.264
11.000,27.337,-14.438,-4.070
12.000,28.251,-12.475,-2.210
13.000,29.165,-10.832,-0.590
14.000,30.078,-9.427,0.858
15.000,30.990,-8.194,2.214
16.000,31.903,-7.087,3.529
17.000,32.813,-6.089,4.810
18.000,33.721,-5.186,6.061
19.000,34.623,-4.368,7.286
20.000,35.518,-3.623,8.490
21.000,36.404,-2.942,9.678
22.000,37.279,-2.315,10.858
23.000,38.139,-1.736,12.043
24.000,38.972,-1.218,13.264
25.000,39.713,-1.000,14.767
26.000,40.238,-0.839,16.656
27.000,40.638,0.501,18.424
