"P_out_dBm
References : ['plot_vs(100*THD, P_out_dBm)']
Dependency : [P_in]
Num. Points : [38]
Matrix Size : scalar
Type : Real","plot_vs(100*THD, P_out_dBm)
References : []
Dependency : [P_out_dBm]
Num. Points : [38]
Matrix Size : scalar
Type : Real"
6.832,2.070
7.833,2.096
8.833,2.124
9.834,2.157
10.834,2.193
11.835,2.235
12.836,2.281
13.838,2.333
14.839,2.392
15.841,2.459
16.843,2.539
17.844,2.644
18.843,2.804
19.839,3.061
20.828,3.459
21.806,4.016
22.767,4.727
23.707,5.554
24.624,6.394
25.527,7.030
26.429,7.336
27.337,7.414
28.251,7.348
29.165,7.180
30.078,6.946
30.990,6.685
31.903,6.427
32.813,6.179
33.721,5.950
34.623,5.739
35.518,5.539
36.404,5.347
37.279,5.164
38.139,4.994
38.972,4.844
39.713,4.743
40.238,4.919
40.638,5.327
