"indep(__d, 1)
References : ['plot_vs(real(Trans_Gain), P_in)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(real(Trans_Gain), P_in)
References : []
Dependency : []
Num. Points : [38]
Matrix Size : scalar
Type : Real"
-10.000,16.499
-9.000,16.499
-8.000,16.500
-7.000,16.500
-6.000,16.501
-5.000,16.501
-4.000,16.502
-3.000,16.503
-2.000,16.504
-1.000,16.505
0.000,16.506
1.000,16.506
2.000,16.505
3.000,16.500
4.000,16.490
5.000,16.469
6.000,16.434
7.000,16.378
8.000,16.298
9.000,16.200
10.000,16.099
11.000,16.000
12.000,15.909
13.000,15.822
14.000,15.737
15.000,15.650
16.000,15.559
17.000,15.467
18.000,15.373
19.000,15.274
20.000,15.169
21.000,15.055
22.000,14.932
23.000,14.795
24.000,14.638
25.000,14.427
26.000,14.047
27.000,13.491
