"P_out_dBm
References : ['plot_vs(ThirdOrdIMD_h, P_out_dBm)','plot_vs(ThirdOrdIMD_l, P_out_dBm)']
Dependency : [RFPower]
Num. Points : [61]
Matrix Size : scalar
Type : Real","plot_vs(ThirdOrdIMD_h, P_out_dBm)
References : []
Dependency : [P_out_dBm]
Num. Points : [61]
Matrix Size : scalar
Type : Real","plot_vs(ThirdOrdIMD_l, P_out_dBm)
References : []
Dependency : [P_out_dBm]
Num. Points : [61]
Matrix Size : scalar
Type : Real"
7.01114,-71.99316,-71.68708
8.01143,-69.98550,-69.67639
9.01179,-67.97560,-67.66231
10.01224,-65.96263,-65.64342
11.01277,-63.94517,-63.61742
12.01339,-61.92061,-61.58031
13.01405,-59.88361,-59.52461
14.01461,-57.82242,-57.43552
15.01475,-55.71078,-55.28344
16.01377,-53.49411,-53.01263
17.01037,-51.07901,-50.53614
18.00236,-48.35683,-47.76266
18.98641,-45.28093,-44.66417
19.95793,-41.93282,-41.32522
20.91148,-38.51078,-37.93104
21.84323,-35.32192,-34.77215
22.75714,-32.80195,-32.27188
23.66268,-31.10580,-30.58486
24.56657,-30.07290,-29.55244
25.47121,-29.52866,-29.00862
26.37854,-29.32665,-28.80670
27.28841,-29.36724,-28.84310
28.19898,-29.60538,-29.08038
29.11005,-29.96682,-29.44916
30.02099,-30.35226,-29.85650
30.93019,-30.70481,-30.23851
31.83539,-31.01634,-30.57043
32.73492,-31.25017,-30.82014
33.62798,-31.32258,-30.92432
34.51358,-31.16880,-30.83366
35.38939,-30.76383,-30.51038
36.25059,-30.06239,-29.90193
37.08130,-28.84171,-28.74655
37.83248,-26.54794,-26.45700
38.47593,-23.80568,-23.66597
39.02608,-21.36547,-21.18380
39.50107,-19.39525,-19.23620
39.90493,-17.77312,-17.62743
40.23429,-16.30647,-16.18219
40.48097,-14.92845,-14.80866
40.66491,-13.75708,-13.69697
40.81009,-12.82507,-12.85014
40.92044,-12.10891,-12.21182
41.00858,-11.62462,-11.74635
41.08461,-11.30664,-11.39009
41.14992,-11.04006,-11.18564
41.20452,-10.83985,-11.06528
41.24919,-10.73620,-10.96264
41.28949,-10.71704,-10.87298
41.32784,-10.66721,-10.85134
41.36340,-10.62768,-10.82303
41.39379,-10.57865,-10.81530
41.41510,-10.53514,-10.78573
41.42480,-10.49343,-10.71065
41.42681,-10.48654,-10.57321
41.42575,-10.54049,-10.38073
41.41166,-10.50005,-10.22917
41.37670,-10.37685,-10.09792
41.31988,-10.20256,-9.93846
41.25451,-10.02303,-9.81550
41.20487,-10.01617,-9.77059
