"P_out_dBm
References : ['plot_vs(FifthOrdIMD_h, P_out_dBm)','plot_vs(FifthOrdIMD_l, P_out_dBm)']
Dependency : [RFPower]
Num. Points : [61]
Matrix Size : scalar
Type : Real","plot_vs(FifthOrdIMD_h, P_out_dBm)
References : []
Dependency : [P_out_dBm]
Num. Points : [61]
Matrix Size : scalar
Type : Real","plot_vs(FifthOrdIMD_l, P_out_dBm)
References : []
Dependency : [P_out_dBm]
Num. Points : [61]
Matrix Size : scalar
Type : Real"
6.50807,-138.84158,-141.42389
7.50841,-136.95815,-141.11770
8.50883,-133.12227,-135.42834
9.50936,-125.09156,-125.03799
10.51000,-116.27720,-115.79475
11.51078,-107.97781,-107.45956
12.51167,-100.15566,-99.66264
13.51260,-92.71613,-92.25099
14.51332,-85.65444,-85.20980
15.51332,-79.04618,-78.61451
16.51160,-73.00748,-72.58311
17.50646,-67.63919,-67.21851
18.49531,-62.98614,-62.56735
19.47464,-59.04712,-58.63019
20.44013,-55.85739,-55.44562
21.38780,-53.69299,-53.30080
22.31724,-53.62604,-53.31684
23.23490,-58.90760,-59.09309
24.14759,-58.88834,-57.74249
25.05930,-49.41324,-48.40944
25.97173,-45.01385,-44.07156
26.88505,-42.37268,-41.49090
27.79946,-40.77713,-39.91390
28.71369,-39.87457,-38.97838
29.62659,-39.41274,-38.46862
30.53708,-39.20535,-38.27567
31.44381,-39.19261,-38.32824
32.34526,-39.36229,-38.55096
33.23977,-39.69725,-38.89042
34.12600,-40.16025,-39.28916
35.00209,-40.69058,-39.72960
35.86432,-41.30155,-40.26634
36.69982,-42.57860,-41.45119
37.45291,-48.37325,-46.42536
38.08237,-54.59142,-51.97102
38.60591,-59.53685,-55.18629
39.05478,-45.90282,-45.05545
39.44568,-36.78868,-36.00722
39.77535,-31.72117,-31.09723
40.03373,-28.50648,-27.97194
40.22548,-26.16186,-25.50359
40.37357,-24.14255,-23.37680
40.49017,-22.32723,-21.69058
40.57845,-20.60571,-20.35585
40.65100,-19.23680,-19.22180
40.71247,-18.29130,-18.33458
40.76395,-17.78620,-17.66103
40.80834,-17.47914,-17.23883
40.85096,-17.21162,-17.04999
40.89209,-17.08442,-16.97601
40.92941,-17.02281,-16.88858
40.95840,-16.98777,-16.80031
40.97929,-17.03934,-16.69783
40.99155,-16.93550,-16.73054
40.99865,-16.70067,-16.72934
41.00252,-16.53313,-16.62288
40.99462,-16.61379,-16.28957
40.96646,-16.72089,-16.04350
40.91841,-16.72007,-15.89050
40.86184,-16.44420,-15.82579
40.81655,-16.00551,-15.65450
