"P_out_dBm
References : ['plot_vs(SeventhOrdIMD_h, P_out_dBm)','plot_vs(SeventhOrdIMD_l, P_out_dBm)']
Dependency : [RFPower]
Num. Points : [61]
Matrix Size : scalar
Type : Real","plot_vs(SeventhOrdIMD_h, P_out_dBm)
References : []
Dependency : [P_out_dBm]
Num. Points : [61]
Matrix Size : scalar
Type : Real","plot_vs(SeventhOrdIMD_l, P_out_dBm)
References : []
Dependency : [P_out_dBm]
Num. Points : [61]
Matrix Size : scalar
Type : Real"
7.01114,-151.16196,-150.68527
8.01143,-144.62834,-144.14254
9.01179,-138.00021,-137.50413
10.01224,-131.27791,-130.77051
11.01277,-124.47604,-123.95642
12.01339,-117.63481,-117.10236
13.01405,-110.83724,-110.29163
14.01461,-104.23115,-103.67233
15.01475,-98.04877,-97.47688
16.01377,-92.60985,-92.02519
17.01037,-88.30460,-87.70833
18.00236,-85.61697,-85.01701
18.98641,-85.44816,-84.91170
19.95793,-90.24682,-91.34119
20.91148,-79.05643,-78.78997
21.84323,-67.41692,-66.74123
22.75714,-58.84035,-58.05206
23.66268,-54.19941,-53.35341
24.56657,-53.25631,-52.37866
25.47121,-55.08170,-54.25229
26.37854,-62.09809,-61.53406
27.28841,-65.78088,-63.56801
28.19898,-54.26799,-52.78029
29.11005,-49.51052,-48.17961
30.02099,-46.79991,-45.50784
30.93019,-45.16070,-43.82144
31.83539,-44.16744,-42.77252
32.73492,-43.58442,-42.17504
33.62798,-43.21017,-41.85220
34.51358,-42.90224,-41.64422
35.38939,-42.63664,-41.44235
36.25059,-42.34941,-41.13435
37.08130,-41.65792,-40.41116
37.83248,-40.81542,-39.42074
38.47593,-42.67731,-41.27906
39.02608,-47.60187,-45.54324
39.50107,-48.17389,-46.38173
39.90493,-44.99992,-43.23402
40.23429,-41.36455,-38.86090
40.48097,-38.41026,-36.83585
40.66491,-37.01251,-35.93673
40.81009,-35.40448,-34.26209
40.92044,-33.38551,-31.49399
41.00858,-31.28539,-29.17294
41.08461,-28.97908,-27.94897
41.14992,-27.15314,-27.25947
41.20452,-25.81649,-26.87343
41.24919,-25.17554,-26.38843
41.28949,-25.24138,-25.67633
41.32784,-25.45240,-24.95561
41.36340,-25.58485,-24.40335
41.39379,-25.61674,-24.05642
41.41510,-25.48588,-23.82714
41.42480,-25.33755,-23.56358
41.42681,-25.25922,-23.25396
41.42575,-25.16321,-23.03646
41.41166,-25.05280,-22.85545
41.37670,-24.96401,-22.78727
41.31988,-24.92389,-22.80513
41.25451,-25.19782,-22.85353
41.20487,-25.34429,-22.99698
