"indep(Pfund_low, 1)
References : ['plot_vs(Pfund_low, RFPower)','plot_vs(P3rdOrd_low, RFPower)']
Dependency : [RFPower]
Num. Points : [61]
Matrix Size : scalar
Type : Real","plot_vs(Pfund_low, RFPower)
References : []
Dependency : []
Num. Points : [61]
Matrix Size : scalar
Type : Real","plot_vs(P3rdOrd_low, RFPower)
References : []
Dependency : []
Num. Points : [61]
Matrix Size : scalar
Type : Real"
-10.000,4.009,-67.678
-9.000,5.009,-64.667
-8.000,6.009,-61.653
-7.000,7.010,-58.634
-6.000,8.010,-55.607
-5.000,9.011,-52.570
-4.000,10.011,-49.513
-3.000,11.012,-46.424
-2.000,12.012,-43.272
-1.000,13.011,-40.002
0.000,14.007,-36.529
1.000,14.999,-32.764
2.000,15.982,-28.682
3.000,16.953,-24.372
4.000,17.906,-20.025
5.000,18.837,-15.936
6.000,19.749,-12.523
7.000,20.653,-9.932
8.000,21.555,-7.997
9.000,22.458,-6.550
10.000,23.364,-5.442
11.000,24.273,-4.571
12.000,25.182,-3.899
13.000,26.092,-3.358
14.000,27.002,-2.855
15.000,27.910,-2.329
16.000,28.814,-1.756
17.000,29.713,-1.107
18.000,30.606,-0.319
19.000,31.491,0.657
20.000,32.366,1.855
21.000,33.227,3.325
22.000,34.057,5.310
23.000,34.807,8.350
24.000,35.449,11.783
25.000,35.996,14.812
26.000,36.469,17.233
27.000,36.871,19.243
28.000,37.198,21.016
29.000,37.442,22.634
30.000,37.626,23.929
31.000,37.771,24.921
32.000,37.880,25.669
33.000,37.969,26.222
34.000,38.037,26.647
35.000,38.101,26.916
36.000,38.168,27.103
37.000,38.219,27.256
38.000,38.249,27.376
39.000,38.284,27.433
40.000,38.312,27.489
41.000,38.342,27.527
42.000,38.371,27.585
43.000,38.399,27.688
44.000,38.429,27.856
45.000,38.441,28.060
46.000,38.433,28.204
47.000,38.395,28.297
48.000,38.320,28.382
49.000,38.250,28.435
50.000,38.210,28.440
