"RFPower
References : ['plot_vs(Spektrum,freq)']
Dependency : [RFPower]
Num. Points : [61]
Matrix Size : scalar
Type : Real","indep(index, 1)
References : ['plot_vs(Spektrum,freq)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","plot_vs(Spektrum,freq)
References : []
Dependency : [RFPower,]
Num. Points : [61,57]
Matrix Size : scalar
Type : Real"
-10.00000,0.00000,-216.26560
-10.00000,5.00000E6,-87.15656
-10.00000,1.00000E7,-161.94455
-10.00000,1.50000E7,-187.50761
-10.00000,2.38250E9,-148.76572
-10.00000,2.38750E9,-137.92074
-10.00000,2.39250E9,-71.29814
-10.00000,2.39750E9,3.50314
-10.00000,2.40250E9,3.49239
-10.00000,2.40750E9,-71.38127
-10.00000,2.41250E9,-135.34918
-10.00000,2.41750E9,-149.18651
-10.00000,4.78500E9,-151.96454
-10.00000,4.79000E9,-117.65265
-10.00000,4.79500E9,-70.22177
-10.00000,4.80000E9,-63.70979
-10.00000,4.80500E9,-69.15663
-10.00000,4.81000E9,-116.09498
-10.00000,4.81500E9,-151.49615
-10.00000,7.18250E9,-158.17616
-10.00000,7.18750E9,-140.32423
-10.00000,7.19250E9,-91.67506
-10.00000,7.19750E9,-82.40867
-10.00000,7.20250E9,-82.63598
-10.00000,7.20750E9,-92.35914
-10.00000,7.21250E9,-145.08244
-10.00000,7.21750E9,-157.81428
-10.00000,9.58500E9,-149.74507
-10.00000,9.59000E9,-125.13468
-10.00000,9.59500E9,-113.56870
-10.00000,9.60000E9,-110.24143
-10.00000,9.60500E9,-113.90815
-10.00000,9.61000E9,-126.25627
-10.00000,9.61500E9,-150.26819
-10.00000,1.19825E10,-183.25285
-10.00000,1.19875E10,-159.38431
-10.00000,1.19925E10,-147.29615
-10.00000,1.19975E10,-142.18278
-10.00000,1.20025E10,-142.73079
-10.00000,1.20075E10,-148.88413
-10.00000,1.20125E10,-161.67308
-10.00000,1.20175E10,-183.52936
-10.00000,1.43850E10,-235.72447
-10.00000,1.43900E10,-221.95668
-10.00000,1.43950E10,-214.74173
-10.00000,1.44000E10,-212.63988
-10.00000,1.44050E10,-215.28543
-10.00000,1.44100E10,-223.00118
-10.00000,1.44150E10,-237.11165
-10.00000,1.67825E10,-269.48781
-10.00000,1.67875E10,-254.03924
-10.00000,1.67925E10,-245.04920
-10.00000,1.67975E10,-240.86460
-10.00000,1.68025E10,-240.94145
-10.00000,1.68075E10,-245.27576
-10.00000,1.68125E10,-254.39970
-10.00000,1.68175E10,-269.90642
-9.00000,0.00000,-216.26560
-9.00000,5.00000E6,-85.15485
-9.00000,1.00000E7,-157.34057
-9.00000,1.50000E7,-179.88633
-9.00000,2.38250E9,-141.23055
-9.00000,2.38750E9,-136.61425
-9.00000,2.39250E9,-68.30178
-9.00000,2.39750E9,4.50346
-9.00000,2.40250E9,4.49275
-9.00000,2.40750E9,-68.38602
-9.00000,2.41250E9,-132.46539
-9.00000,2.41750E9,-141.66115
-9.00000,4.78500E9,-145.00848
-9.00000,4.79000E9,-113.93328
-9.00000,4.79500E9,-68.19257
-9.00000,4.80000E9,-61.68691
-9.00000,4.80500E9,-67.12604
-9.00000,4.81000E9,-112.34791
-9.00000,4.81500E9,-144.48439
-9.00000,7.18250E9,-150.62645
-9.00000,7.18750E9,-133.55487
-9.00000,7.19250E9,-88.65800
-9.00000,7.19750E9,-79.39897
-9.00000,7.20250E9,-79.62814
-9.00000,7.20750E9,-89.35223
-9.00000,7.21250E9,-137.21877
-9.00000,7.21750E9,-150.25476
-9.00000,9.58500E9,-142.91627
-9.00000,9.59000E9,-120.89864
-9.00000,9.59500E9,-109.54743
-9.00000,9.60000E9,-106.28343
-9.00000,9.60500E9,-110.00225
-9.00000,9.61000E9,-122.39275
-9.00000,9.61500E9,-143.37354
-9.00000,1.19825E10,-175.66178
-9.00000,1.19875E10,-153.43517
-9.00000,1.19925E10,-141.66132
-9.00000,1.19975E10,-136.62532
-9.00000,1.20025E10,-137.14601
-9.00000,1.20075E10,-143.15192
-9.00000,1.20125E10,-155.49299
-9.00000,1.20175E10,-175.91886
-9.00000,1.43850E10,-228.79806
-9.00000,1.43900E10,-215.32015
