"VGS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VDS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","DC.IDS.i
References : []
Dependency : [VGS,VDS]
Num. Points : [101,33]
Matrix Size : scalar
Type : Real"
-3.0000,0.0000,1.3998E-40
-3.0000,1.0000,1.0000E-12
-3.0000,2.0000,0.0001
-3.0000,3.0000,0.0007
-3.0000,4.0000,0.0016
-3.0000,5.0000,0.0025
-3.0000,6.0000,0.0033
-3.0000,7.0000,0.0040
-3.0000,8.0000,0.0047
-3.0000,9.0000,0.0053
-3.0000,10.0000,0.0059
-3.0000,11.0000,0.0064
-3.0000,12.0000,0.0070
-3.0000,13.0000,0.0074
-3.0000,14.0000,0.0079
-3.0000,15.0000,0.0083
-3.0000,16.0000,0.0087
-3.0000,17.0000,0.0090
-3.0000,18.0000,0.0094
-3.0000,19.0000,0.0097
-3.0000,20.0000,0.0099
-3.0000,21.0000,0.0102
-3.0000,22.0000,0.0105
-3.0000,23.0000,0.0107
-3.0000,24.0000,0.0109
-3.0000,25.0000,0.0111
-3.0000,26.0000,0.0112
-3.0000,27.0000,0.0114
-3.0000,28.0000,0.0115
-3.0000,29.0000,0.0117
-3.0000,30.0000,0.0118
-3.0000,31.0000,0.0119
-3.0000,32.0000,0.0120
-2.9900,0.0000,1.3998E-40
-2.9900,1.0000,1.0000E-12
-2.9900,2.0000,0.0002
-2.9900,3.0000,0.0012
-2.9900,4.0000,0.0023
-2.9900,5.0000,0.0034
-2.9900,6.0000,0.0044
-2.9900,7.0000,0.0053
-2.9900,8.0000,0.0061
-2.9900,9.0000,0.0068
-2.9900,10.0000,0.0075
-2.9900,11.0000,0.0081
-2.9900,12.0000,0.0087
-2.9900,13.0000,0.0093
-2.9900,14.0000,0.0098
-2.9900,15.0000,0.0103
-2.9900,16.0000,0.0107
-2.9900,17.0000,0.0111
-2.9900,18.0000,0.0115
-2.9900,19.0000,0.0118
-2.9900,20.0000,0.0121
-2.9900,21.0000,0.0124
-2.9900,22.0000,0.0127
-2.9900,23.0000,0.0129
-2.9900,24.0000,0.0132
-2.9900,25.0000,0.0134
-2.9900,26.0000,0.0136
-2.9900,27.0000,0.0137
-2.9900,28.0000,0.0139
-2.9900,29.0000,0.0141
-2.9900,30.0000,0.0142
-2.9900,31.0000,0.0143
-2.9900,32.0000,0.0144
-2.9800,0.0000,1.4227E-40
-2.9800,1.0000,1.0000E-12
-2.9800,2.0000,0.0004
-2.9800,3.0000,0.0018
-2.9800,4.0000,0.0033
-2.9800,5.0000,0.0046
-2.9800,6.0000,0.0058
-2.9800,7.0000,0.0068
-2.9800,8.0000,0.0077
-2.9800,9.0000,0.0086
-2.9800,10.0000,0.0094
-2.9800,11.0000,0.0101
-2.9800,12.0000,0.0108
-2.9800,13.0000,0.0114
-2.9800,14.0000,0.0120
-2.9800,15.0000,0.0125
-2.9800,16.0000,0.0130
-2.9800,17.0000,0.0134
-2.9800,18.0000,0.0138
-2.9800,19.0000,0.0142
-2.9800,20.0000,0.0146
-2.9800,21.0000,0.0149
-2.9800,22.0000,0.0152
-2.9800,23.0000,0.0155
-2.9800,24.0000,0.0157
-2.9800,25.0000,0.0159
-2.9800,26.0000,0.0162
-2.9800,27.0000,0.0164
-2.9800,28.0000,0.0165
-2.9800,29.0000,0.0167
-2.9800,30.0000,0.0169
-2.9800,31.0000,0.0170
-2.9800,32.0000,0.0171
-2.9700,0.0000,1.4227E-40
-2.9700,1.0000,1.0000E-12
-2.9700,2.0000,0.0007
-2.9700,3.0000,0.0026
-2.9700,4.0000,0.0044
-2.9700,5.0000,0.0060
-2.9700,6.0000,0.0074
-2.9700,7.0000,0.0086
-2.9700,8.0000,0.0096
-2.9700,9.0000,0.0106
-2.9700,10.0000,0.0115
-2.9700,11.0000,0.0123
-2.9700,12.0000,0.0131
-2.9700,13.0000,0.0137
-2.9700,14.0000,0.0144
-2.9700,15.0000,0.0150
-2.9700,16.0000,0.0155
-2.9700,17.0000,0.0160
-2.9700,18.0000,0.0165
-2.9700,19.0000,0.0169
-2.9700,20.0000,0.0173
-2.9700,21.0000,0.0176
-2.9700,22.0000,0.0180
-2.9700,23.0000,0.0183
-2.9700,24.0000,0.0185
-2.9700,25.0000,0.0188
-2.9700,26.0000,0.0190
-2.9700,27.0000,0.0192
-2.9700,28.0000,0.0194
-2.9700,29.0000,0.0196
-2.9700,30.0000,0.0198
-2.9700,31.0000,0.0199
-2.9700,32.0000,0.0201
-2.9600,0.0000,1.4227E-40
-2.9600,1.0000,1.0000E-12
-2.9600,2.0000,0.0011
-2.9600,3.0000,0.0036
-2.9600,4.0000,0.0058
-2.9600,5.0000,0.0076
-2.9600,6.0000,0.0092
-2.9600,7.0000,0.0106
-2.9600,8.0000,0.0118
-2.9600,9.0000,0.0129
-2.9600,10.0000,0.0139
-2.9600,11.0000,0.0148
-2.9600,12.0000,0.0156
-2.9600,13.0000,0.0164
-2.9600,14.0000,0.0171
-2.9600,15.0000,0.0177
-2.9600,16.0000,0.0183
-2.9600,17.0000,0.0189
-2.9600,18.0000,0.0194
-2.9600,19.0000,0.0198
-2.9600,20.0000,0.0202
-2.9600,21.0000,0.0206
-2.9600,22.0000,0.0210
-2.9600,23.0000,0.0213
-2.9600,24.0000,0.0216
-2.9600,25.0000,0.0219
-2.9600,26.0000,0.0221
-2.9600,27.0000,0.0224
-2.9600,28.0000,0.0226
-2.9600,29.0000,0.0228
-2.9600,30.0000,0.0229
-2.9600,31.0000,0.0231
-2.9600,32.0000,0.0233
-2.9500,0.0000,1.4226E-40
-2.9500,1.0000,1.0000E-12
