"freq
References : ['MAG','dB(S21)','dB(S(1,1))']
Dependency : [freq]
Num. Points : [5901]
Matrix Size : scalar
Type : Real","MAG
References : []
Dependency : [freq]
Num. Points : [5901]
Matrix Size : scalar
Type : Real","dB(S21)
References : []
Dependency : [freq]
Num. Points : [5901]
Matrix Size : scalar
Type : Real","dB(S(1,1))
References : []
Dependency : [freq]
Num. Points : [5901]
Matrix Size : scalar
Type : Real"
1.000E8,16.232,-43.985,-0.003
1.010E8,16.355,-43.794,-0.003
1.020E8,16.477,-43.605,-0.003
1.030E8,16.597,-43.418,-0.003
1.040E8,16.716,-43.232,-0.003
1.050E8,16.835,-43.047,-0.003
1.060E8,16.952,-42.863,-0.003
1.070E8,17.068,-42.681,-0.003
1.080E8,17.183,-42.500,-0.003
1.090E8,17.297,-42.321,-0.003
1.100E8,17.411,-42.142,-0.003
1.110E8,17.523,-41.965,-0.003
1.120E8,17.634,-41.789,-0.003
1.130E8,17.744,-41.614,-0.003
1.140E8,17.854,-41.440,-0.003
1.150E8,17.962,-41.267,-0.003
1.160E8,18.070,-41.095,-0.003
1.170E8,18.176,-40.924,-0.003
1.180E8,18.282,-40.755,-0.004
1.190E8,18.387,-40.586,-0.004
1.200E8,18.491,-40.418,-0.004
1.210E8,18.594,-40.251,-0.004
1.220E8,18.696,-40.085,-0.004
1.230E8,18.798,-39.920,-0.004
1.240E8,18.898,-39.755,-0.004
1.250E8,18.998,-39.592,-0.004
1.260E8,19.097,-39.429,-0.004
1.270E8,19.195,-39.267,-0.004
1.280E8,19.292,-39.106,-0.004
1.290E8,19.389,-38.946,-0.004
1.300E8,19.484,-38.786,-0.004
1.310E8,19.579,-38.627,-0.004
1.320E8,19.673,-38.469,-0.004
1.330E8,19.766,-38.312,-0.004
1.340E8,19.858,-38.155,-0.004
1.350E8,19.950,-37.999,-0.004
1.360E8,20.041,-37.843,-0.004
1.370E8,20.131,-37.688,-0.004
1.380E8,20.220,-37.533,-0.004
