"freq
References : ['mu_load','mu_source']
Dependency : [freq]
Num. Points : [119]
Matrix Size : scalar
Type : Real","mu_load
References : []
Dependency : [freq]
Num. Points : [119]
Matrix Size : scalar
Type : Real","mu_source
References : []
Dependency : [freq]
Num. Points : [119]
Matrix Size : scalar
Type : Real"
1.000E8,1.001,1.000
1.500E8,1.001,1.000
2.000E8,1.001,1.001
2.500E8,1.003,1.001
3.000E8,1.010,1.005
3.500E8,1.006,1.003
4.000E8,1.005,1.002
4.500E8,1.004,1.002
5.000E8,1.003,1.001
5.500E8,0.999,0.999
6.000E8,1.016,1.011
6.500E8,1.020,1.008
7.000E8,1.020,1.008
7.500E8,1.022,1.008
8.000E8,1.024,1.008
8.500E8,1.026,1.009
9.000E8,1.029,1.009
9.500E8,1.032,1.011
1.000E9,1.036,1.012
1.050E9,1.040,1.014
1.100E9,1.045,1.016
1.150E9,1.050,1.019
1.200E9,1.056,1.023
1.250E9,1.063,1.028
1.300E9,1.071,1.034
1.350E9,1.079,1.043
1.400E9,1.089,1.053
1.450E9,1.098,1.063
1.500E9,1.107,1.068
1.550E9,1.115,1.066
1.600E9,1.122,1.057
1.650E9,1.127,1.048
1.700E9,1.132,1.041
1.750E9,1.138,1.037
1.800E9,1.146,1.036
1.850E9,1.158,1.036
1.900E9,1.175,1.038
1.950E9,1.198,1.043
2.000E9,1.229,1.050
2.050E9,1.272,1.062
2.100E9,1.333,1.080
2.150E9,1.427,1.112
2.200E9,1.607,1.178
2.250E9,1.914,1.264
2.300E9,2.223,1.440
2.350E9,2.886,1.987
2.400E9,4.190,4.163
2.450E9,2.835,1.982
2.500E9,2.218,1.486
2.550E9,1.889,1.299
2.600E9,1.693,1.210
2.650E9,1.569,1.162
2.700E9,1.486,1.134
2.750E9,1.428,1.117
2.800E9,1.388,1.106
2.850E9,1.359,1.099
2.900E9,1.338,1.094
2.950E9,1.322,1.092
3.000E9,1.312,1.091
3.050E9,1.304,1.092
3.100E9,1.300,1.094
3.150E9,1.298,1.097
3.200E9,1.299,1.102
3.250E9,1.301,1.108
3.300E9,1.306,1.116
3.350E9,1.314,1.126
3.400E9,1.324,1.140
3.450E9,1.338,1.160
3.500E9,1.356,1.188
3.550E9,1.380,1.229
3.600E9,1.411,1.294
3.650E9,1.454,1.406
3.700E9,1.514,1.622
3.750E9,1.600,2.120
3.800E9,1.728,3.720
3.850E9,1.927,4.702
3.900E9,2.245,2.363
3.950E9,2.757,1.703
4.000E9,3.428,1.440
4.050E9,3.648,1.313
4.100E9,3.089,1.246
4.150E9,2.477,1.207
4.200E9,2.060,1.183
4.250E9,1.794,1.170
4.300E9,1.625,1.162
4.350E9,1.515,1.159
4.400E9,1.444,1.159
4.450E9,1.401,1.163
4.500E9,1.377,1.169
4.550E9,1.369,1.179
4.600E9,1.374,1.193
4.650E9,1.389,1.213
4.700E9,1.414,1.239
4.750E9,1.445,1.274
4.800E9,1.482,1.321
4.850E9,1.520,1.387
4.900E9,1.556,1.476
4.950E9,1.587,1.596
5.000E9,1.611,1.750
5.050E9,1.626,1.924
5.100E9,1.632,2.071
5.150E9,1.631,2.121
5.200E9,1.623,2.054
5.250E9,1.612,1.922
5.300E9,1.599,1.781
5.350E9,1.585,1.662
5.400E9,1.572,1.569
5.450E9,1.560,1.498
5.500E9,1.550,1.446
5.550E9,1.542,1.408
5.600E9,1.537,1.380
5.650E9,1.534,1.361
5.700E9,1.533,1.350
5.750E9,1.535,1.345
5.800E9,1.540,1.347
5.850E9,1.547,1.357
5.900E9,1.556,1.375
5.950E9,1.568,1.404
6.000E9,1.583,1.448
