"VDS
References : ['permute(Gm)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VGS
References : ['permute(Gm)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","permute(Gm)
References : []
Dependency : [VDS,VGS]
Num. Points : [321,16]
Matrix Size : scalar
Type : Real"
0.000,-3.000,0.155
0.000,-2.900,0.238
0.000,-2.800,0.264
0.000,-2.700,0.229
0.000,-2.600,0.211
0.000,-2.500,0.204
0.000,-2.400,0.202
0.000,-2.300,0.201
0.000,-2.200,0.201
0.000,-2.100,0.200
0.000,-2.000,0.200
0.000,-1.900,0.200
0.000,-1.800,0.200
0.000,-1.700,0.200
0.000,-1.600,0.200
0.000,-1.500,0.200
0.100,-3.000,0.154
0.100,-2.900,0.238
0.100,-2.800,0.263
0.100,-2.700,0.228
0.100,-2.600,0.210
0.100,-2.500,0.204
0.100,-2.400,0.201
0.100,-2.300,0.200
0.100,-2.200,0.200
0.100,-2.100,0.200
0.100,-2.000,0.200
0.100,-1.900,0.200
0.100,-1.800,0.218
0.100,-1.700,0.361
0.100,-1.600,0.295
0.100,-1.500,0.236
0.200,-3.000,0.154
0.200,-2.900,0.237
0.200,-2.800,0.262
0.200,-2.700,0.228
0.200,-2.600,0.210
0.200,-2.500,0.203
0.200,-2.400,0.201
0.200,-2.300,0.399
0.200,-2.200,0.422
0.200,-2.100,0.366
0.200,-2.000,0.318
0.200,-1.900,0.273
0.200,-1.800,0.233
0.200,-1.700,0.197
0.200,-1.600,0.168
0.200,-1.500,0.143
0.300,-3.000,0.153
0.300,-2.900,0.236
0.300,-2.800,0.261
0.300,-2.700,0.227
0.300,-2.600,0.209
0.300,-2.500,0.525
0.300,-2.400,0.448
0.300,-2.300,0.403
0.300,-2.200,0.365
0.300,-2.100,0.328
0.300,-2.000,0.291
0.300,-1.900,0.255
0.300,-1.800,0.223
0.300,-1.700,0.194
0.300,-1.600,0.168
0.300,-1.500,0.146
0.400,-3.000,0.153
0.400,-2.900,0.236
0.400,-2.800,0.261
0.400,-2.700,0.232
0.400,-2.600,0.557
0.400,-2.500,0.460
0.400,-2.400,0.423
0.400,-2.300,0.393
0.400,-2.200,0.362
0.400,-2.100,0.330
0.400,-2.000,0.297
0.400,-1.900,0.265
0.400,-1.800,0.235
0.400,-1.700,0.207
0.400,-1.600,0.182
0.400,-1.500,0.159
0.500,-3.000,0.152
0.500,-2.900,0.235
0.500,-2.800,0.260
0.500,-2.700,0.686
0.500,-2.600,0.490
0.500,-2.500,0.448
0.500,-2.400,0.422
0.500,-2.300,0.397
0.500,-2.200,0.370
0.500,-2.100,0.342
0.500,-2.000,0.313
0.500,-1.900,0.283
0.500,-1.800,0.254
0.500,-1.700,0.227
0.500,-1.600,0.201
0.500,-1.500,0.177
0.600,-3.000,0.152
0.600,-2.900,0.234
0.600,-2.800,0.451
0.600,-2.700,0.555
0.600,-2.600,0.475
0.600,-2.500,0.447
0.600,-2.400,0.426
0.600,-2.300,0.405
0.600,-2.200,0.382
0.600,-2.100,0.357
0.600,-2.000,0.331
0.600,-1.900,0.303
0.600,-1.800,0.275
0.600,-1.700,0.248
0.600,-1.600,0.222
0.600,-1.500,0.197
0.700,-3.000,0.151
0.700,-2.900,0.233
0.700,-2.800,1.114
0.700,-2.700,0.520
0.700,-2.600,0.472
0.700,-2.500,0.450
0.700,-2.400,0.432
0.700,-2.300,0.414
0.700,-2.200,0.395
0.700,-2.100,0.373
0.700,-2.000,0.349
0.700,-1.900,0.323
0.700,-1.800,0.297
0.700,-1.700,0.270
0.700,-1.600,0.244
0.700,-1.500,0.218
0.800,-3.000,0.150
0.800,-2.900,0.232
0.800,-2.800,0.711
0.800,-2.700,0.507
0.800,-2.600,0.472
0.800,-2.500,0.453
0.800,-2.400,0.439
0.800,-2.300,0.423
0.800,-2.200,0.406
0.800,-2.100,0.387
0.800,-2.000,0.366
0.800,-1.900,0.343
0.800,-1.800,0.318
0.800,-1.700,0.293
0.800,-1.600,0.266
0.800,-1.500,0.240
0.900,-3.000,0.150
0.900,-2.900,0.280
0.900,-2.800,0.619
0.900,-2.700,0.502
0.900,-2.600,0.473
0.900,-2.500,0.457
0.900,-2.400,0.445
0.900,-2.300,0.432
0.900,-2.200,0.417
0.900,-2.100,0.401
0.900,-2.000,0.382
0.900,-1.900,0.361
0.900,-1.800,0.339
0.900,-1.700,0.315
0.900,-1.600,0.289
0.900,-1.500,0.263
1.000,-3.000,0.149
1.000,-2.900,0.579
1.000,-2.800,0.583
1.000,-2.700,0.499
1.000,-2.600,0.475
1.000,-2.500,0.461
1.000,-2.400,0.450
1.000,-2.300,0.439
1.000,-2.200,0.427
1.000,-2.100,0.412
1.000,-2.000,0.396
1.000,-1.900,0.378
1.000,-1.800,0.358
1.000,-1.700,0.335
1.000,-1.600,0.311
1.000,-1.500,0.286
1.100,-3.000,0.149
1.100,-2.900,1.553
1.100,-2.800,0.564
1.100,-2.700,0.498
1.100,-2.600,0.477
1.100,-2.500,0.465
1.100,-2.400,0.455
1.100,-2.300,0.446
1.100,-2.200,0.435
1.100,-2.100,0.423
1.100,-2.000,0.409
1.100,-1.900,0.393
1.100,-1.800,0.375
1.100,-1.700,0.355
1.100,-1.600,0.332
1.100,-1.500,0.308
1.200,-3.000,0.148
1.200,-2.900,1.434
1.200,-2.800,0.554
1.200,-2.700,0.498
1.200,-2.600,0.479
1.200,-2.500,0.468
1.200,-2.400,0.460
1.200,-2.300,0.451
1.200,-2.200,0.442
1.200,-2.100,0.432
1.200,-2.000,0.420
1.200,-1.900,0.406
1.200,-1.800,0.390
1.200,-1.700,0.372
1.200,-1.600,0.352
1.200,-1.500,0.330
1.300,-3.000,0.147
1.300,-2.900,1.051
1.300,-2.800,0.547
1.300,-2.700,0.498
1.300,-2.600,0.481
1.300,-2.500,0.471
1.300,-2.400,0.464
1.300,-2.300,0.456
1.300,-2.200,0.449
1.300,-2.100,0.440
1.300,-2.000,0.429
1.300,-1.900,0.417
1.300,-1.800,0.404
1.300,-1.700,0.388
1.300,-1.600,0.370
1.300,-1.500,0.349
1.400,-3.000,0.146
1.400,-2.900,0.885
1.400,-2.800,0.543
1.400,-2.700,0.499
1.400,-2.600,0.483
1.400,-2.500,0.474
1.400,-2.400,0.467
1.400,-2.300,0.461
1.400,-2.200,0.454
1.400,-2.100,0.446
1.400,-2.000,0.438
1.400,-1.900,0.427
1.400,-1.800,0.415
1.400,-1.700,0.401
1.400,-1.600,0.385
1.400,-1.500,0.367
1.500,-3.000,0.146
1.500,-2.900,0.799
1.500,-2.800,0.540
1.500,-2.700,0.500
1.500,-2.600,0.485
1.500,-2.500,0.477
1.500,-2.400,0.471
1.500,-2.300,0.465
1.500,-2.200,0.459
1.500,-2.100,0.452
1.500,-2.000,0.445
1.500,-1.900,0.436
1.500,-1.800,0.425
1.500,-1.700,0.413
1.500,-1.600,0.399
1.500,-1.500,0.383
1.600,-3.000,0.145
1.600,-2.900,0.749
1.600,-2.800,0.538
1.600,-2.700,0.501
1.600,-2.600,0.487
1.600,-2.500,0.479
1.600,-2.400,0.474
1.600,-2.300,0.469
1.600,-2.200,0.463
1.600,-2.100,0.457
1.600,-2.000,0.451
1.600,-1.900,0.443
1.600,-1.800,0.434
1.600,-1.700,0.424
1.600,-1.600,0.411
1.600,-1.500,0.397
1.700,-3.000,0.146
1.700,-2.900,0.716
1.700,-2.800,0.538
1.700,-2.700,0.503
1.700,-2.600,0.489
1.700,-2.500,0.482
1.700,-2.400,0.476
1.700,-2.300,0.472
1.700,-2.200,0.467
1.700,-2.100,0.462
1.700,-2.000,0.456
1.700,-1.900,0.449
1.700,-1.800,0.442
1.700,-1.700,0.432
1.700,-1.600,0.422
1.700,-1.500,0.409
1.800,-3.000,0.149
1.800,-2.900,0.694
1.800,-2.800,0.537
1.800,-2.700,0.504
1.800,-2.600,0.491
1.800,-2.500,0.484
1.800,-2.400,0.479
1.800,-2.300,0.475
1.800,-2.200,0.470
1.800,-2.100,0.466
1.800,-2.000,0.461
1.800,-1.900,0.455
1.800,-1.800,0.448
1.800,-1.700,0.440
1.800,-1.600,0.431
1.800,-1.500,0.420
1.900,-3.000,0.156
1.900,-2.900,0.678
1.900,-2.800,0.537
1.900,-2.700,0.506
1.900,-2.600,0.493
1.900,-2.500,0.486
1.900,-2.400,0.482
1.900,-2.300,0.478
1.900,-2.200,0.474
1.900,-2.100,0.469
1.900,-2.000,0.465
1.900,-1.900,0.460
1.900,-1.800,0.454
1.900,-1.700,0.447
1.900,-1.600,0.439
1.900,-1.500,0.429
2.000,-3.000,0.166
2.000,-2.900,0.666
2.000,-2.800,0.538
2.000,-2.700,0.507
2.000,-2.600,0.495
2.000,-2.500,0.488
2.000,-2.400,0.484
2.000,-2.300,0.480
2.000,-2.200,0.476
2.000,-2.100,0.473
2.000,-2.000,0.468
2.000,-1.900,0.464
2.000,-1.800,0.458
2.000,-1.700,0.452
2.000,-1.600,0.445
2.000,-1.500,0.437
2.100,-3.000,0.182
2.100,-2.900,0.658
2.100,-2.800,0.539
2.100,-2.700,0.509
2.100,-2.600,0.497
2.100,-2.500,0.490
2.100,-2.400,0.486
2.100,-2.300,0.483
2.100,-2.200,0.479
2.100,-2.100,0.476
2.100,-2.000,0.472
2.100,-1.900,0.468
2.100,-1.800,0.463
2.100,-1.700,0.457
2.100,-1.600,0.451
2.100,-1.500,0.444
2.200,-3.000,0.202
2.200,-2.900,0.651
2.200,-2.800,0.539
2.200,-2.700,0.511
2.200,-2.600,0.499
2.200,-2.500,0.493
2.200,-2.400,0.488
2.200,-2.300,0.485
2.200,-2.200,0.482
2.200,-2.100,0.478
2.200,-2.000,0.475
2.200,-1.900,0.471
2.200,-1.800,0.467
2.200,-1.700,0.462
2.200,-1.600,0.456
2.200,-1.500,0.450
2.300,-3.000,0.225
2.300,-2.900,0.646
2.300,-2.800,0.541
2.300,-2.700,0.512
2.300,-2.600,0.501
2.300,-2.500,0.495
2.300,-2.400,0.491
2.300,-2.300,0.487
2.300,-2.200,0.484
2.300,-2.100,0.481
2.300,-2.000,0.478
2.300,-1.900,0.474
2.300,-1.800,0.470
2.300,-1.700,0.466
2.300,-1.600,0.461
2.300,-1.500,0.455
2.400,-3.000,0.252
2.400,-2.900,0.643
2.400,-2.800,0.542
2.400,-2.700,0.514
2.400,-2.600,0.503
2.400,-2.500,0.497
2.400,-2.400,0.493
2.400,-2.300,0.489
2.400,-2.200,0.486
2.400,-2.100,0.483
2.400,-2.000,0.480
2.400,-1.900,0.477
2.400,-1.800,0.473
2.400,-1.700,0.469
2.400,-1.600,0.465
2.400,-1.500,0.459
2.500,-3.000,0.280
2.500,-2.900,0.640
2.500,-2.800,0.543
2.500,-2.700,0.516
2.500,-2.600,0.505
2.500,-2.500,0.499
2.500,-2.400,0.495
2.500,-2.300,0.492
2.500,-2.200,0.489
2.500,-2.100,0.486
2.500,-2.000,0.483
2.500,-1.900,0.479
2.500,-1.800,0.476
2.500,-1.700,0.472
2.500,-1.600,0.468
2.500,-1.500,0.464
2.600,-3.000,0.311
2.600,-2.900,0.638
2.600,-2.800,0.545
2.600,-2.700,0.518
2.600,-2.600,0.507
2.600,-2.500,0.501
2.600,-2.400,0.497
2.600,-2.300,0.494
2.600,-2.200,0.491
2.600,-2.100,0.488
2.600,-2.000,0.485
2.600,-1.900,0.482
2.600,-1.800,0.479
2.600,-1.700,0.475
2.600,-1.600,0.472
2.600,-1.500,0.467
2.700,-3.000,0.341
2.700,-2.900,0.637
2.700,-2.800,0.547
2.700,-2.700,0.520
2.700,-2.600,0.509
2.700,-2.500,0.503
2.700,-2.400,0.499
2.700,-2.300,0.496
2.700,-2.200,0.493
2.700,-2.100,0.490
2.700,-2.000,0.487
2.700,-1.900,0.484
2.700,-1.800,0.481
2.700,-1.700,0.478
2.700,-1.600,0.475
2.700,-1.500,0.471
2.800,-3.000,0.372
2.800,-2.900,0.636
2.800,-2.800,0.549
2.800,-2.700,0.522
2.800,-2.600,0.511
2.800,-2.500,0.505
2.800,-2.400,0.501
2.800,-2.300,0.498
2.800,-2.200,0.495
2.800,-2.100,0.492
2.800,-2.000,0.490
2.800,-1.900,0.487
2.800,-1.800,0.484
2.800,-1.700,0.481
2.800,-1.600,0.477
2.800,-1.500,0.474
2.900,-3.000,0.403
2.900,-2.900,0.636
2.900,-2.800,0.551
2.900,-2.700,0.525
2.900,-2.600,0.514
2.900,-2.500,0.508
2.900,-2.400,0.503
2.900,-2.300,0.500
2.900,-2.200,0.497
2.900,-2.100,0.495
2.900,-2.000,0.492
2.900,-1.900,0.489
2.900,-1.800,0.486
2.900,-1.700,0.483
2.900,-1.600,0.480
2.900,-1.500,0.477
3.000,-3.000,0.432
3.000,-2.900,0.636
3.000,-2.800,0.553
3.000,-2.700,0.527
3.000,-2.600,0.516
3.000,-2.500,0.510
3.000,-2.400,0.506
3.000,-2.300,0.502
3.000,-2.200,0.499
3.000,-2.100,0.497
3.000,-2.000,0.494
3.000,-1.900,0.491
3.000,-1.800,0.489
3.000,-1.700,0.486
3.000,-1.600,0.483
3.000,-1.500,0.479
3.100,-3.000,0.461
3.100,-2.900,0.636
3.100,-2.800,0.555
3.100,-2.700,0.529
3.100,-2.600,0.518
3.100,-2.500,0.512
3.100,-2.400,0.508
3.100,-2.300,0.505
3.100,-2.200,0.502
3.100,-2.100,0.499
3.100,-2.000,0.496
3.100,-1.900,0.493
3.100,-1.800,0.491
3.100,-1.700,0.488
3.100,-1.600,0.485
3.100,-1.500,0.482
3.200,-3.000,0.487
3.200,-2.900,0.637
3.200,-2.800,0.557
3.200,-2.700,0.532
3.200,-2.600,0.520
3.200,-2.500,0.514
3.200,-2.400,0.510
3.200,-2.300,0.507
3.200,-2.200,0.504
3.200,-2.100,0.501
3.200,-2.000,0.498
3.200,-1.900,0.496
3.200,-1.800,0.493
3.200,-1.700,0.490
3.200,-1.600,0.487
3.200,-1.500,0.484
3.300,-3.000,0.512
3.300,-2.900,0.638
3.300,-2.800,0.559
3.300,-2.700,0.534
3.300,-2.600,0.523
3.300,-2.500,0.517
3.300,-2.400,0.512
3.300,-2.300,0.509
3.300,-2.200,0.506
3.300,-2.100,0.503
3.300,-2.000,0.501
3.300,-1.900,0.498
3.300,-1.800,0.495
3.300,-1.700,0.492
3.300,-1.600,0.490
3.300,-1.500,0.487
3.400,-3.000,0.536
3.400,-2.900,0.640
3.400,-2.800,0.562
3.400,-2.700,0.536
3.400,-2.600,0.525
3.400,-2.500,0.519
3.400,-2.400,0.515
3.400,-2.300,0.511
3.400,-2.200,0.508
3.400,-2.100,0.505
3.400,-2.000,0.503
3.400,-1.900,0.500
3.400,-1.800,0.497
3.400,-1.700,0.495
3.400,-1.600,0.492
3.400,-1.500,0.489
3.500,-3.000,0.557
3.500,-2.900,0.641
3.500,-2.800,0.564
3.500,-2.700,0.539
3.500,-2.600,0.528
3.500,-2.500,0.521
3.500,-2.400,0.517
3.500,-2.300,0.514
3.500,-2.200,0.511
3.500,-2.100,0.508
3.500,-2.000,0.505
3.500,-1.900,0.502
3.500,-1.800,0.500
3.500,-1.700,0.497
3.500,-1.600,0.494
3.500,-1.500,0.491
3.600,-3.000,0.577
3.600,-2.900,0.643
3.600,-2.800,0.567
3.600,-2.700,0.541
3.600,-2.600,0.530
3.600,-2.500,0.524
3.600,-2.400,0.520
3.600,-2.300,0.516
3.600,-2.200,0.513
3.600,-2.100,0.510
3.600,-2.000,0.507
3.600,-1.900,0.505
3.600,-1.800,0.502
3.600,-1.700,0.499
3.600,-1.600,0.496
3.600,-1.500,0.494
3.700,-3.000,0.596
3.700,-2.900,0.645
3.700,-2.800,0.569
3.700,-2.700,0.544
3.700,-2.600,0.533
3.700,-2.500,0.526
3.700,-2.400,0.522
3.700,-2.300,0.518
3.700,-2.200,0.515
3.700,-2.100,0.512
3.700,-2.000,0.510
3.700,-1.900,0.507
3.700,-1.800,0.504
3.700,-1.700,0.501
3.700,-1.600,0.499
3.700,-1.500,0.496
3.800,-3.000,0.612
3.800,-2.900,0.647
3.800,-2.800,0.572
3.800,-2.700,0.547
3.800,-2.600,0.535
3.800,-2.500,0.529
3.800,-2.400,0.525
3.800,-2.300,0.521
3.800,-2.200,0.518
3.800,-2.100,0.515
3.800,-2.000,0.512
3.800,-1.900,0.509
3.800,-1.800,0.506
3.800,-1.700,0.504
3.800,-1.600,0.501
3.800,-1.500,0.498
3.900,-3.000,0.628
3.900,-2.900,0.649
3.900,-2.800,0.575
3.900,-2.700,0.550
3.900,-2.600,0.538
3.900,-2.500,0.532
3.900,-2.400,0.527
3.900,-2.300,0.523
3.900,-2.200,0.520
3.900,-2.100,0.517
3.900,-2.000,0.514
3.900,-1.900,0.511
3.900,-1.800,0.509
3.900,-1.700,0.506
3.900,-1.600,0.503
3.900,-1.500,0.500
4.000,-3.000,0.642
4.000,-2.900,0.652
4.000,-2.800,0.578
4.000,-2.700,0.552
4.000,-2.600,0.541
4.000,-2.500,0.534
4.000,-2.400,0.530
4.000,-2.300,0.526
4.000,-2.200,0.523
4.000,-2.100,0.520
4.000,-2.000,0.517
4.000,-1.900,0.514
4.000,-1.800,0.511
4.000,-1.700,0.508
4.000,-1.600,0.505
4.000,-1.500,0.503
4.100,-3.000,0.655
4.100,-2.900,0.654
4.100,-2.800,0.581
4.100,-2.700,0.555
4.100,-2.600,0.544
4.100,-2.500,0.537
4.100,-2.400,0.532
4.100,-2.300,0.529
4.100,-2.200,0.525
4.100,-2.100,0.522
4.100,-2.000,0.519
4.100,-1.900,0.516
4.100,-1.800,0.513
4.100,-1.700,0.511
4.100,-1.600,0.508
4.100,-1.500,0.505
4.200,-3.000,0.667
4.200,-2.900,0.657
4.200,-2.800,0.584
4.200,-2.700,0.558
4.200,-2.600,0.547
4.200,-2.500,0.540
4.200,-2.400,0.535
4.200,-2.300,0.531
4.200,-2.200,0.528
4.200,-2.100,0.525
4.200,-2.000,0.522
4.200,-1.900,0.519
4.200,-1.800,0.516
4.200,-1.700,0.513
4.200,-1.600,0.510
4.200,-1.500,0.507
4.300,-3.000,0.678
4.300,-2.900,0.660
4.300,-2.800,0.587
4.300,-2.700,0.561
4.300,-2.600,0.549
4.300,-2.500,0.543
4.300,-2.400,0.538
4.300,-2.300,0.534
4.300,-2.200,0.530
4.300,-2.100,0.527
4.300,-2.000,0.524
4.300,-1.900,0.521
4.300,-1.800,0.518
4.300,-1.700,0.515
4.300,-1.600,0.512
4.300,-1.500,0.510
4.400,-3.000,0.688
4.400,-2.900,0.663
4.400,-2.800,0.590
4.400,-2.700,0.564
4.400,-2.600,0.552
4.400,-2.500,0.546
4.400,-2.400,0.541
