"indep(__d, 1)
References : ['vs(Gm[VDSindex], DC.VGS)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","vs(Gm[VDSindex], DC.VGS)
References : []
Dependency : []
Num. Points : [101]
Matrix Size : scalar
Type : Real"
-3.000,1.366
-2.990,1.626
-2.980,1.928
-2.970,2.281
-2.960,2.695
-2.950,3.186
-2.940,3.771
-2.930,4.471
-2.920,5.311
-2.910,6.317
-2.900,7.502
-2.890,8.846
-2.880,10.262
-2.870,11.562
-2.860,12.495
-2.850,12.891
-2.840,12.773
-2.830,12.312
-2.820,11.695
-2.810,11.052
-2.800,10.447
-2.790,9.906
-2.780,9.434
-2.770,9.027
-2.760,8.678
-2.750,8.378
-2.740,8.120
-2.730,7.897
-2.720,7.705
-2.710,7.538
-2.700,7.393
-2.690,7.266
-2.680,7.155
-2.670,7.057
-2.660,6.971
-2.650,6.895
-2.640,6.827
-2.630,6.768
-2.620,6.714
-2.610,6.667
-2.600,6.624
-2.590,6.585
-2.580,6.551
-2.570,6.519
-2.560,6.491
-2.550,6.465
-2.540,6.441
-2.530,6.420
-2.520,6.400
-2.510,6.381
-2.500,6.364
-2.490,6.348
-2.480,6.332
-2.470,6.318
-2.460,6.305
-2.450,6.292
-2.440,6.280
-2.430,6.268
-2.420,6.257
-2.410,6.246
-2.400,6.235
-2.390,6.225
-2.380,6.214
-2.370,6.205
-2.360,6.195
-2.350,6.185
-2.340,6.176
-2.330,6.166
-2.320,6.157
-2.310,6.148
-2.300,6.138
-2.290,6.129
-2.280,6.120
-2.270,6.111
-2.260,6.102
-2.250,6.092
-2.240,6.083
-2.230,6.074
-2.220,6.065
-2.210,6.056
-2.200,6.046
-2.190,6.037
-2.180,6.028
-2.170,6.019
-2.160,6.009
-2.150,6.000
-2.140,5.990
-2.130,5.981
-2.120,5.972
-2.110,5.962
-2.100,5.953
-2.090,5.943
-2.080,5.934
-2.070,5.924
-2.060,5.915
-2.050,5.905
-2.040,5.895
-2.030,5.886
-2.020,5.876
-2.010,5.866
-2.000,5.857
